,label,cleaned_text,tweet_length
3207,negative,im in denver my bag is in san jose see something wrong here,59
3208,negative,you know its bad when youre praying your connecting flight is delayed because of an hour delay on the first flight justgetmehome,128
3209,negative,playing hide and seek with the gate we cant find it it should only be a few more minutes,88
3210,negative,so our flight into ord was delayed because of air force one but the last flight to sbn is at mins from now we just landed,121
3211,neutral,your flights are really cheap whats the catch,45
3212,neutral,lgjwb i voluntarily rerouted st leg of journey was in economy and was supposed to be b res agent said shed reserve it for me,124
3213,negative,hrs late flightr and you still cant figure it out random text updates embarrassing ua,85
3214,negative,stop picking on us cle,22
3215,negative,booked flight in sept to get best price for april to usa checked now and they are cheaper what a con unhappy customer ripoff,124
3216,negative,too big to properly manage flight times there is such a thing as being on time or at least prepared with a gate when we land,124
3217,negative,id rather have the truth about my flight than be forced to sit here all day trying to get home to this,102
3218,positive,leaving soon thanks,19
3219,negative,another delayed day delayed outbound delayed inbound and now waiting at ewr for a gate to be ready how is it not ready,118
3220,negative,cancelled flighted my mileage plus award reservation gc same day have yet to see my miles back despite agent confirmation,121
3221,neutral,my partner and i booked individual reservations for same flight i have pr silver can he share my premier privileges somehow,123
3222,negative,gate changes in minutes for flight to roanoke and flight to sous falls in ohare painful,87
3223,negative,this is nuts they said a flight was on the ground now its still in albany and they wont have a plane someone is compensating me,127
3224,negative,doumented via link however now that it has been over four months with no response what do you suggest or shall i not expect one,127
3225,negative,what yall have zero concept of customer service ohand now my connection is delayed too,86
3226,negative,just curious why youd board a flight without a pilot seems crucial to the flight process no,91
3227,neutral,sent dms,8
3228,negative,just changed again this is crazy youragentshavenoclue,53
3229,negative,never can get a flight out on time hour delay earlier another hour delay on my connecting flight makes straight delays,118
3230,negative,bc of your delay now you are oversold by passengers this is a mess what are you going to do to compensate,105
3231,negative,blamed weather lol no wind and not a cloud in the sky delayed both ways x ru kidding me to charge me for lb w delays,116
3232,negative,be worseoh you cant delayed with no reason on the way to lonflight cancelled flighted with no reason less than days before returning,132
3233,negative,flight gate changes on top of this really hoping you can compensate with some pointsmileage to my account,105
3234,negative,should contact me and the others on my flight who cant get their website to work none of our info is valid,106
3235,negative,over an hour stuck and still not off the plane total failure by you and your partners in ensuring the best customer experience,126
3236,neutral,line up iah avgeek,18
3237,negative,silence is very telling,23
3238,negative,thanks for the hr delay and then no ground crew when we landed at least you didnt break my,90
3239,neutral,bought a round trip to chicago two days agotoday the same flight is half that is there any way for me to get that discount,122
3240,negative,am i illiterate or is there a magic code to make your customer service site work,80
3241,negative,worst airline ever staff is nasty wifi down bags are delayed due to weather and now the belt is broken selling ual stock in am,126
3242,neutral,stars and bars a avgeek,23
3243,negative,im confused after your agents directed us to go to your website after delays nothing works,90
3244,positive,had wonderful on time flights from ogg to msn lost rx eyeglasses thick in the admiral club in chicago this morning found,120
3245,negative,minute waitstill at the gate with a broken jetway might miss connection,71
3246,negative,see information on our boarding process kp i get group just no reason on,72
3247,neutral,in bogota with no wallet is no fun,34
3248,negative,lost my wallet on flight yesterday from houston to bogota filled out your online form no response yet,101
3249,negative,one hour after departure time and still no update,49
3250,negative,i am now following you and see that i am not the only one experiencing and noticing a substantial downgrade in service post merger,130
3251,negative,minutes waiting at the gate for the broken jetway different gate maybe,70
3252,negative,how can you never got a flight from austin to houston in time for a connection ever ever,88
3253,positive,got it right with the safety demonstration corporate but funny reserved but not corny as a,90
3254,negative,now sitting on the tarmac for a half hour after landing because your jetway is broken daysofunitedfailures thingafteranother,124
3255,negative,look at the twitter history as usual service non existent,57
3256,positive,thanks for the reply i have been in contact with customer care to get clarification on this issue,97
3257,neutral,i will give it a couple more weeks thank you,44
3258,negative,make sure you make cancelled flighted flight baggage and upgrade fees seem like a labyrinth so that you might be able to swindle a few more,139
3259,negative,how is this considered on time if its arriving at destination half hour late flightr than scheduled,99
3260,negative,thanks for trying to take my money without notice in any other industry you cancelled flight a service a refund is issued cont,126
3261,negative,and there is no direct phone number for status match desk i really regret flight booking problems with now,106
3262,negative,yet again you disappoint sitting at iad for ua for hrs and you cant seem to know why the plane hasnt left albany fail,117
3263,negative,still sitting here waiting for a plane hours wasted,51
3264,positive,thanks for the help wish the phone reps could be so accomidating,64
3265,negative,line is just getting longer and moving slower lady working the counter is doing great she just needs help customerservicefail,125
3266,negative,an update on flight would be great,34
3267,negative,wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space frustrated,129
3268,negative,what is the problem with your flights to ny today,49
3269,negative,flight was too heavy so had to fly back to palm springs after being in the air for mins,87
3270,negative,your boarding process sucks you should learn from,49
3271,negative,ouch delays due to mechanical issues again qro will have to wait yall seem to be falling apart alwaysdelayed unitedfail,119
3272,negative,my fingers are crossed that they are more capable of getting baggage from point ab than united airlines,103
3273,negative,what happened this afternoon huge amt of incoming planes to sfo delayed over hours frustrating,94
3274,negative,not about being on my way or impatience on my partits about you being untruthful and not having proper systems in place,119
3275,negative,can you maybe have more than person working customer service desk in houston airport line rows deep person working,114
3276,positive,ill stick with my united flight thanks though effort is much appreciated,72
3277,negative,your survey is too long i fly a lot of segments and ill fill it out after every trip but not if it takes more than a minute,123
3278,negative,can you you think about hiring some baggage attendants at ewr been waiting for bags for hr united overchargedunderserved,120
3279,positive,fair enough i dont usually rant but its good to know someones listening,71
3280,negative,are you telling me that you are now cancelled flighting my flight,65
3281,negative,would be hard to be worse than last time but im sure youll give it a shot,73
3282,positive,thank you for the delta transfer will my bags go too,52
3283,positive,happy to have had you on board please share details here kp done,64
3284,negative,service staff to is less than friendly,38
3285,neutral,happens every time in and out of newark,39
3286,negative,can you transfer my bags too,28
3287,negative,i am a comedian and i promise i will make fun of you on stage tonight,69
3288,negative,tried to and got through the whole characters and i was not even done,69
3289,positive,we were able to get on the moon flight just got to our hotel in puerto rico thank you,85
3290,negative,you had us reboard without the captain so now well be sitting in here for another min,85
3291,negative,on flight to houston delayed duecto engine trouble willl you hold my connection to argentina at houston since im late flight now,128
3292,positive,great appreciate it,19
3293,positive,i was well taken care of thanks ive already been sent a survey request ill share my positive experience despite delay,117
3294,positive,thanks everything aok now,25
3295,positive,dm sent thanks so much for the strong customer service,54
3296,negative,just delayed my flight to slc by hours what gives snowforce,59
3297,positive,ok thanks i sent you a dm too you can disregard that,52
3298,positive,so excited i was put on an earlier flight to get home woo hoo travel,68
3299,negative,your airline is a joke person working special services at ewr line is ppl deep grow up,86
3300,negative,more concerned that you close a club i paid alot for at last flight p the construction going on is very inconvenient,116
3301,positive,perfect thank you,17
3302,negative,care less about the person although he walked away while i was complaining a man at p at lax club more,102
3303,negative,smiling not,11
3304,negative,worst airline in the world delays gate agent loses her mind over lbs and charges me on top of the i already paid,112
3305,neutral,will i make it with the delay,29
3306,negative,wed prefer everyone hear our complaints amount your airline,59
3307,negative,why do you bother surveying me,30
3308,neutral,im on standby for my connecting flight st on the list nudgenudge im told there are four slots open save it for me please,120
3309,negative,worst airline ever after legs of travel i am officially done on time is not in their vocab im taking my premier status to a,123
3310,neutral,looking back never heard from anyone i had to call and frankly got standard sop still think about it today,106
3311,negative,donna and juan still the best in the united club too bad ual does not get it,76
3312,neutral,i am on and my connecting flight is,35
3313,neutral,just got interrogated at the united club chicago unitedairlines rude poorform,77
3314,negative,i just want to contact someone with a question not be put on hold for minutes in order to be hung up on or sent to the pet line,127
3315,neutral,can i access frankfurt arrival lounge when im flying global first class,71
3316,negative,keeps delaying my flight horrible customer service,50
3317,positive,has the best pilots ever thank you guys for the great trip thatisall,68
3318,negative,i really down think downgrading the boozefood selections at the club is a good way to go how about you look,107
3319,negative,you guys are atrocious far better service as silver on delta than you as a platinum ill be switching back to delta,114
3320,positive,i will thank you,16
3321,positive,thanks for making sure they hear the message,44
3322,neutral,can i go golfunited,19
3323,neutral,i got an email from cust care for an issue i had offering me a voucher how do i claim that i emailed back but got no reply dm me,128
3324,negative,i have and been denied i called and got hung up on did speaks with manager on second call,89
3325,negative,club den east or west both are disgusting,41
3326,negative,installed and working are not the same kicked me out after an hour and wouldnt let me back in four wasted hours,111
3327,neutral,i would like to know if its possiable to checkin online or must it be done at schiphol,86
3328,neutral,how do you go fr silver elite for two straight years to group all the time i get no group but maybe or whats up,111
3329,negative,thats what i tried to do but when entering email into nd device made email typo no way to fix it no option to log outin,119
3330,neutral,what delivery service do you use id like to call them myself,60
3331,negative,so the hrs that you told me was what a guess theyve apparently had the bag hrs now and no call,94
3332,positive,my home for the next hrs gfc,28
3333,positive,thank you,9
3334,positive,i have to admit that not only the app is good but have lots of useful func such the live seat map congrats,106
3335,negative,still waiting our bags web still cant tell me its location how come can tell u at any given minute where it is,110
3336,negative,seriously after waiting hours on the plane for my flight to leave at pm i have to leave the plane great just great,114
3337,positive,kind of cool to run into your boss man at sfo,45
3338,positive,got a call bag is to be delivered tonight thanks for your reply,63
3339,positive,global first class lounge ord menu yummy,40
3340,positive,pleasantly surprised with quality of service and flightflew lgacleden friendly crew love the concept of byod worksnicely,120
3341,negative,we like hearing from you so why havent you replied to my tweet andor email yet,78
3342,negative,rude grouchy agent at dulles checkin just got my hour trip off to a lousy start he needs a nap or something,107
3343,negative,k use to be special people in group one why not board global and k together,75
3344,negative,thats because you didnt read my entire tweet wifes pm flight is now delayed to thats hour flight delays in weeks,112
3345,negative,as it always is helps to communicate to customers,49
3346,negative,im not as sure as you are,25
3347,negative,how does that help me with my customers that i couldnt meet with and subsequently lost,86
3348,positive,thank you i will address it with them,37
3349,negative,problem is on laptop not phone,30
3350,negative,question was given food vouchers but cant use on planehow come,62
3351,neutral,its cool i didnt need to go to work today or get home to make sure my house is ok in the wind chill,99
3352,neutral,please reroute oregon womens tennis to santa barbara theres supposedly another connection from la,97
3353,negative,the wifi in the ewr lounge reminds me of the old days of dial up,64
3354,negative,needs to pay for my car i could have been on my flight if help desks did not say it already left shame,102
3355,negative,too long for characters,23
3356,negative,bossf was in between waivers business cancelled flighted due to weather beforeafter no flexibilitycompassion in extreme circumstances,133
3357,negative,tried that already tried forgetting the wifi network connection still forces log in with incorrect email other suggestions,122
3358,negative,i see you tweeting as little as min ago are you just ignoring my cs request cantlogoutofunitedwifi,98
3359,negative,or did you mean,15
3360,negative,has it been hrs yet,19
3361,negative,anyone awake paying for wifi on iphone when need to be using it on laptop logout option for wifi in flight time is wasting,122
3362,negative,does a great job of answering public messages direct private messages not so much,81
3363,negative,i work in customer support extremely saddened united wont waive change fee for flights i had to cancelled flight due to east coast storms,137
3364,negative,hows my refund coming along,27
3365,negative,another fcking delay in the past hours,38
3366,neutral,online inchecking able in the netherlands ams,45
3367,negative,from sfo to hnl with zero entertainment systemsyouareonyourown,62
3368,negative,how do you log out of wifi in flight dont see any option and made typo when logging in help,91
3369,neutral,when will you have special promotions for flights departing newark nj to st johns antigua,89
3370,negative,flight ua from sfo to burbank has been delayed twice now still no plane in sight get it together,96
3371,negative,just saying the truth you dont even an email,44
3372,negative,mr shes on her way now but thought id detail the extravaganza for you dobetter please,85
3373,neutral,hi if a premium ec upgrade was paid for then a mileage bf upgrade done is the prem eco upgrade fare refunded,108
3374,neutral,deaffriendly getting there read your review on,46
3375,negative,we followed the baggage rules on your website and was still charges but only going one way,90
3376,negative,i sent you a dm hours ago,25
3377,negative,need to track lost luggage being shipped to me need ph for human not automated,78
3378,neutral,dm the conf to you did you receive it,37
3379,negative,no it weighed and it was the only checked bag,45
3380,neutral,still waiting for a response on whether or not you allow use of a rear facing car seat on an erj,96
3381,negative,nonrefundable hence i wrote doesnt make sense for my credit nothanks,68
3382,negative,your website was down all day yesterday tried x put all info indidnt go thru today the flight i bought went up,110
3383,negative,you do realize my wife is waiting on a delayed flight at this very moment im not sure i understand your tweet,109
3384,negative,im a minor and freaking out bc i might not make my connecting flight to hawaii so yes im frustrated,99
3385,positive,so sorry i ended up on us air flight thank you though for getting back to me,76
3386,negative,i have been denied not sure how you charge one way then on way hime,67
3387,neutral,does she need to complain on twitter for the refund or is it autoapplied,72
3388,negative,even so change could not be made online instructed to call an agent maybe the syastem should allow agents link passengers,121
3389,negative,case id,7
3390,neutral,no i have a pricey chase mileage plus cc,40
3391,negative,your airbus a seats are awful they dont recline,47
3392,negative,to dm you i have to follow you and im not doing that plus theyre no more options thats why i had to fly with you epicfail,121
3393,positive,great way to start my vacation with an on time departure looking forward to my global first class suite,103
3394,neutral,i have d and d embossed badges and patches superior to the ones you are currently using,87
3395,negative,why am i sitting on this plane for an hour after scheduled takeoff without a cloud in the sky keepusguessing isthisyourfirsttry,127
3396,positive,thank you for responding so promptly i look forward to the kms drive to the office to file a claim,98
3397,positive,that would be great,19
3398,neutral,death in the family cannot make flight tomorrow phone rep quoted per person fee which is almost the cost of ticket help,119
3399,negative,of the airplane otherwise they would call the police because the flight had to take off before ham,98
3400,negative,huh i have sent crash reports in feb alone in one day only app i have that consistently crashes,95
3401,negative,i was abused threatened and forced to travel in a lower cabine last seat in yesterdays flight from houston to sao paulo,119
3402,positive,youre welcome,13
3403,negative,contacted yesterday and was told that theres nothing they can do they suggested i email for some compensation cust service,122
3404,neutral,im a ua k i think its who was looking for help,46
3405,neutral,res fsqthg thanks,17
3406,negative,unfortunately that doesnt help just an automated computer,57
3407,positive,flt ewr to sfo excellent service friendly flight attendants made the am flight a very good start to the day,107
3408,positive,yes d y from on instagram,25
3409,neutral,you really shouldnt use the word crashing just sayin,52
3410,negative,airlines delayed our flight on the way to chicago and leaving chicago next time it is,85
3411,negative,they inquire and then do nothing about itpretend theyre interested responded to your dm and no response back,108
3412,neutral,need assistance to change flight to get to an ailing parent have flight leaving tuesday need to change asap to sooner custserv,126
3413,negative,i must stop my relationship with you youve become greedy and heartless and our long term relationship is over,109
3414,negative,your customer service is lacking and you owe me a camera i also appreciate not being interrupted every time i speak thanks,122
3415,neutral,you need to follow me i order for me to dm,42
3416,negative,can i get a refund i would like to book on a better airline,59
3417,negative,whom can i call to discuss as i was told that united has no phone contact with passengers this is absurd,104
3418,negative,messaged you as requested and called your baggage team again its still in newark please help or let me know next steps,118
3419,neutral,airlines is changing mileageplus program march,46
3420,neutral,there is only one club at lax in terminal across from gate,58
3421,neutral,definately not an award for employer of the year united,55
3422,negative,i guess thats not the busiest route so based on trafficfuel costs regional jet is the decision but still not great travelers,124
3423,negative,flight delayed minutes in ord because plane didnt have all the food that should be fixed in the future its a dumb delay,119
3424,neutral,need to change flight from this tuesday to sooner to attend to ailing parent in fl need help custserv,101
3425,negative,need to chat with an actual human asap,38
3426,neutral,i have already emailed but i didnt know if it was more expedient to contact you here please advise thanks,105
3427,negative,i got an email saying changes to my mileageplus account are confirmed but i didnt make any changes help,103
3428,neutral,yes when i landed,17
3429,positive,joni did a great job on flight to lax thanks for a great flight,63
3430,positive,so far so good just stepped down in denver next stop portland,61
3431,negative,disappointed in the service will be missing my connection after over an hour delay cramped seats at least their app is good,123
3432,negative,what a joke hang up on customers,32
3433,negative,over charged me one way for baggagefind out others leaving pittsburgh with same equipment werent charged just hung up on me,123
3434,positive,orthodoc oncall to inflight glad to have been of service,56
3435,negative,so publicly you asked for details on my flt sent you a dm like you asked and have yet days to hear from you unitedfail,118
3436,positive,flight attendant regains karma by giving big sweaty dad cold water guy was running carrying his daughter last one onboard,121
3437,negative,really hoping to get some help here on my th attempt to get a resolution and lost count of transfers help please mileageplus,124
3438,neutral,click lounges tab need to be flying on supported sa airline,59
3439,negative,i sent you a dm with my file reference number i just want to know if someone has located my bag even if its not here yet,120
3440,positive,i just want shout out a thank the pilots and staff on the feb flight from newark to boston at pm they were super helpful,120
3441,negative,can you help from there ua cant take off without missing galley cart that no one can find pax all seated for last hour,118
3442,neutral,for my grandma ellas th she would love a birthday greeting from your flight crew she was a stewardess for eastern airlines,122
3443,neutral,is hiring flight dispatcher chicago il network operations centerl,65
3444,negative,that doesnt make any sense ive been k for over years and youre making it harder to keep me loyal,96
3445,neutral,have all s been updated with power outlets and seatback tvs yet flying ord to tokyonarita on the th,99
3446,negative,i need you to get my cousin to pdx shes on days of travel now and weve had to hire other sitters til she arrives thx for that,125
3447,positive,keep the flights cheap and earlyon time and you are good flew and cancelled flightled my flight times last month united,119
3448,negative,the premier desk was able to rebook me with our friends at only problem is now i have to pay for a checked bag,110
3449,negative,i did and as i thought nothing happened,39
3450,negative,im not booked on a return flight,32
3451,negative,the flt to ord is correct per my dm it is the flight from ord to cvg i was charged for incorrectly,98
3452,negative,you need to change the way customer service is handled i have been waiting for a supervisor to contact me for days what gives,125
3453,negative,i need to talk with an actual person about missing luggage please advise on how to make that happen,99
3454,negative,i know i can see that too but now estimated time of dep is am i dont understand why there wasnt a better estimate hrs ago,121
3455,neutral,any news,8
3456,negative,where we trick you into making us look popular on twitter by being the worst airline wellplayed jokesonus,105
3457,negative,why do i have to request refund why charge twice in first place,63
3458,negative,ill be calling soon but going tomorrow like it shows on the app is not a good option,84
3459,negative,ive filled out the form twice no email i have a lost item code can you verify it was received,93
3460,positive,message sent thank you,22
3461,negative,thats what i have been told but refund doesnt really makeup for the inconvenience caused and the missed meeting does it,119
3462,neutral,this is the year for van gogh fans to visit europe,50
3463,neutral,this is the year for van gogh fans to visit europe,50
3464,negative,please explain why i need to pay bag fees twice equally because a delayed flight resulted in bags being rechecked overnight,123
3465,negative,watched the entire uncvsduke game on the tarmac before cancelled flighting my flight because crew timed out right before my hr flight,133
3466,negative,reflight booking problems would not have made me reach on time for my meeting also didnt wanna take a chance booked myself on instead,133
3467,neutral,who can eat at an airport for areyounew incompetent nonumber feeltheheat,72
3468,negative,vacation days relevant ritz in pr for the night losing a day to idiots and sleeping at the newark ramada priceless,114
3469,negative,that time when i spent a night trying to sleep in a toddler bed at the airport ramada without my luggage you kidnapped furious,126
3470,negative,i am calling to check on a future flight and your first agent hung up and now you sent me to the pet travel line this is hell,125
3471,negative,fyi the siteapp still shows plenty of the unavailable flights i had errors with almost hrs after sellout flying,111
3472,negative,sure youve been saying that for as long as ive been tweeting about your obsolete fleet promises are free,104
3473,positive,followed and messaged thanks so much for the help,49
3474,neutral,i did not thats why i am very concerned,39
3475,negative,please consider letting flyers with no overhead bin items boarddeplane first after first class make sense,105
3476,negative,i will never be flying with unitedairlines ever again for checked bags all under lbs angrycustomer unitedairlinessuck,117
3477,positive,thanks jt,9
3478,neutral,trying to locate passenger that landed hrs ago in ua can you assist is flight still in customs please help,106
3479,positive,thank you off to la to do something very special,48
3480,negative,the flight turned around for mechanical reasons on never to fly united again as they dont check their planes properly,117
3481,negative,is it customary to upgrade a flight attendant in uniform vs passengers one is in b on flt now to iah,100
3482,negative,you should really have that addressed somewhere on the website find that completely irritating am unable to take my flight now,126
3483,negative,ua hr mechanical delay all i get is voucher will tweet when i book next trip not on ua,86
3484,negative,spends minutes beating up a lady about her bag fees random stranger comes up and pays the fee randomactsofcorporategreed,120
3485,neutral,for a fee,9
3486,negative,hii am still waiting for the refund this is ridiculousor u approve my tickets or u give me a refundplease advise wht is going on,128
3487,neutral,hi booked a flight yesterday and received an email w confirmation number but today i got this error no active flight segments,125
3488,neutral,any updates with the dot looking at the united fares from london to the us from last week,89
3489,negative,thanks mr i got rebooked already but i lost my first class seat such is life,76
3490,negative,booked a flight yesterday appeared in my account confirm email but since a few hours all disappeared and err no segment in this,127
3491,negative,no we are boarding but why cant your agents on the phone taking care of k travellers link reservations,102
3492,negative,ewr ppl told me to call have xday since monday still at layover loc have that ref tho any help appreciated,106
3493,negative,ruth was very helpful in rerouting us to punta cana when dulles connection failed other reps not so helpful,107
3494,positive,thank you,9
3495,negative,we booked at the same time and he called was told confirmed we were linked even after he had to make changes to his rez,119
3496,negative,you board a a flight and then cancelled flight it because it doesnt have a pilot now i miss my meeting atlanta because someone slept in,135
3497,neutral,i dont have a milage number i cant sent my mail to you via dm youre not following me i follow you now so you can sent me a dm,125
3498,negative,no response weeks since complaint submitted and days since you all said you would look into it,94
3499,negative,thx come hell or high water,27
3500,negative,worried the cold weather or snow would delay us this morning but no it was the pilots stillwaiting,98
3501,negative,rushed through the degree weather to get to the airport on time too bad the pilots didnt do the same stillwaiting,113
3502,neutral,refund,6
3503,neutral,aisle please,12
3504,positive,thanks for the quick reply i just fill in the form idnumber hopetogetanswersoon,79
3505,negative,handed a slip of papersaid to call have called xday trying to get it sent still layover airporthave that ref tho,112
3506,neutral,good maybe that will make up for losing my medallion probablynot,64
3507,positive,thats fine ill take them,24
3508,neutral,i live abroad and am flight booking problems flights for when i come visit the states,85
3509,neutral,i have,6
3510,negative,to recap you bounced me off my flight lied to me then hung up on me what am i supposed to thinkdo now,101
3511,positive,thank you my second flight i already got bumped up to st love it,64
3512,negative,she said she would need to get a supervisor while waiting for the supervisor she hung up on me,94
3513,negative,just called and lady at your overseas call center said she saw no note i explained the situationagain,101
3514,negative,she could not access seat map so she said she would note the upgrade in my itinerary and to call back late flightr,114
3515,negative,spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today,109
3516,positive,all goods ill call tomorrow thanks,34
3517,neutral,next day,8
3518,neutral,i filled out the form but i havent received any sort of email confirmation that its been received is that normal,112
3519,negative,loses my luggage and loses my reservation after a hour travel day i just want to get to in the am,97
3520,negative,oh flight was fine my lost luggage not so much looks like ill be at least a half day late flight to my conference in santa monica,129
3521,negative,h flight without a working screen for me and my friend and not possible to move to another place unitedfailsworsttripofmylife,125
3522,neutral,n dreamliner leaves london heathrow,35
3523,negative,gj flight didnt have wifi even though it was promised to by your ground crew anotherdisappointment,98
3524,negative,gj i will you have to agree that hours late flight for arrival is unacceptable i only hope and pray my bag is here,114
3525,negative,unhappy with uniteds service read ralph naders open letter to uals ceo leave a comment or rt,92
3526,neutral,ok can i dm you the info,24
3527,negative,the best seats should be for paying customers and we should get to board first badcustomerservice,97
3528,negative,this happens all the time united pilots are always in the exit row america treats there customers better than their employees,125
3529,negative,yes when i got to the gate i specifically asked if there where any other seats very discouraging to walk past the crew d,120
3530,neutral,koalax should have fresh food service right,43
3531,positive,omg thank u,11
3532,negative,unavailable leg that registered hours after being sold out only option to offer after min was ticket or travelocity of,118
3533,negative,error message said couldnt process request at the last step after seat selection on each leg agent was unaware of an of,119
3534,negative,soon going to have more wait time for a gate in empty msp airport than it was in flight min and still counting,110
3535,negative,horrible wait time on to get a gate shows total miss management value customer time and respect thier sentiment,111
3536,negative,very disappointed by the service starting from gate operator at bos who was rude in stopping a carryon bag,106
3537,negative,your service sucks to mexico from houston you finally realized that snacks inst dont work you cheap as,102
3538,neutral,will do thank you,17
3539,neutral,okay thank you both,19
3540,neutral,they had snacks available just no fresh foodnot sure what happened but im sure we will grab a bite before our sfo connection,124
3541,negative,if guy on flight follows through on threat to sue because he couldnt carry on bags i will defend you for free,109
3542,neutral,done as requested,17
3543,negative,pls post video of belligerent jerk ranting at sfo thats hes going to sue you for making him check his rd bag hes a hoot,119
3544,negative,gj i do believe that this is hands down the worst service ive ever experienced makes look amazing unitedairlines,112
3545,positive,please give special thanks to aaron in tampa office for helping me for literally two hours hes amazing mission accomplished,123
3546,negative,i cant tellpurchase through the website because they put us on a lufthansa flight for the first leg,99
3547,neutral,turkish airlines rebooked us a united flight on our second leg from fra iad is there any way to check if upgrades are available,127
3548,neutral,hey i left my favorite blanket on the plane bring it back home to me,68
3549,negative,gj funny i did and the attendant recommended me tweeting you letting you know about my subpar customer service runaround,120
3550,neutral,followed dmd,12
3551,neutral,i want a hotel room and a whiskey,33
3552,neutral,flightgotta make this connector,31
3553,neutral,ok noted all details will be dmed to you shortly,48
3554,negative,the b gates are very far though,31
3555,negative,ua from ric ua from ord ua from den all delayed for nonweather issues way to go youre batting but no hotels,107
3556,negative,i would have made it if you hadnt already booked me on another flight and cancelled flighted my original reservation,116
3557,negative,how can i book reward travel in august everything is blacked out,64
3558,positive,did i win,9
3559,negative,trying to change a flight booked just hours ago but online system is charging me fee per passenger could you please help,120
3560,negative,i have submitted my complaint i need to be compensated how long will this take,78
3561,neutral,any info on delays at sfo tomorrow due to low clouds,52
3562,negative,because of the horrific flight experience you guys have made me never want to fly on an airplane every again,108
3563,positive,flight to rsw tonight me twin year olds a pilot who was in row by me stayed to help me get the boys bags off lifesaver,118
3564,negative,my flying united is oversorry the captain still had minutes of preflight preparations to make while we sat with no air,118
3565,neutral,thanks,6
3566,positive,yes thx at landed at,20
3567,negative,get a clue i am a kmm miler and that is the response you give,61
3568,negative,i was only trying to get my emails what are you talking about what most business people expect from airline wifi,112
3569,neutral,we finally just arrive to bogota good but long flight,53
3570,negative,its not there we tried its already here in cancun just no one has delivered it,78
3571,negative,what you did was illegal and a breach of contract i will be in touch but not through your customer feedback,107
3572,negative,its not the way to treat your customers we had a lot of issues and it was not worth our headache we went thru,109
3573,negative,yes we are in ewr and it was corrected but just the fact the it was beought up for us to share rooms is unexpactable,116
3574,neutral,want to make my day friend is premier i should be soon any chance you can upgrade our two hr leg of flights to ecom plus,120
3575,negative,please review and fix your baggage procedures at dulles because it happens every week when my sister travels there on your airline,130
3576,negative,nothing else from you gj where is your customer service,55
3577,neutral,thats of course in lax,22
3578,neutral,ok thanks where are you counters located and how late flight are they open,74
3579,negative,oh no im rebooked hours after my original arrival time we can talk compensation,79
3580,negative,my coworker that had the same conflict as me with the hotel issue trying to share posted on their facebook page and they erased it,130
3581,negative,lost my parents luggage to cancun said it would be delivered to hotel by pm it is now almost pm,95
3582,negative,then watched my connecting flight in den pull away from the gate only to pull into the same gate slapintheface,110
3583,negative,and on some versions of the row has no window at all go ahead check well wait,77
3584,negative,im pretty sure ive got shin splits from sprinting through iah only to watch my plane pull away from the jet way,111
3585,negative,well the income flight to dca to take us to ewr was delayed and it made us miss our connection to fll so yes hotels were necessary,130
3586,negative,can you please stop cancelled flightling your flights i am trying to get home to take two exams tomorrow youve cancelled flightled flights on me,144
3587,negative,ive been hung up on twice by your staff so upset right now,58
3588,neutral,dcaewr flight,13
3589,negative,hour flight from fll to ewr now waiting hour plus for bags no sign yet what gives,81
3590,negative,was such a better airline when you were continental service fee flight booking problems fee talk to a human fee fu,114
3591,neutral,any chance you could look into my problem from earlier,54
3592,negative,this is despicable i spoke to many diff people everyone is telling me something different i have a claim no i need my bag now,125
3593,negative,how come the crew traveling on the flight gets a better seat and i get stuck checking my bag and the crews bag got on the flight,128
3594,negative,funny thing happened we arrived on our flight from denver at the same gate we are currently scheduled to depart for sydney at lol,129
3595,positive,i forgot that intl flights out of lax dont go from intl terminal easiest recheck in ever woo,92
3596,neutral,can you please tell me where united flies to from sydney australia pref asia pac or us as i have a voucher to redeem,116
3597,negative,you cant claim weather with your hardworking crew pulling seats out of a plane do the right thing but we both know you wont,123
3598,negative,youre missin the point there was no weather youre lying seats was broken but u claim weather to get out of hotels classy,120
3599,negative,are you trying to break a world record for most delayed flights in a year,73
3600,neutral,i have flights that dont appear to have been applied to my mileageplus account can you help,91
3601,neutral,im just an aussie cowgirl lookin for my cowboy take me to fort worth estelle says ill find him there,100
3602,positive,okay thank you for your help,28
3603,negative,this is not what captain said your pm flight to san francisco is delayed due to weather ua now departs failagain,112
3604,positive,thanks,6
3605,negative,i bet doesnt turn a thirty minute delay on an original flight into a hour delayed arrive time,93
3606,positive,is the best way to reunite me with my one true love shopping in usas fashion capital newyork unitedvusa,103
3607,neutral,should find a way to distinguish boarding of premier members and credit card holders group is too big,101
3608,negative,final destination was booked through united but with quantas united has not yet contacted auckland i am unaware of case id number,129
3609,neutral,was in the air just dmd you,27
3610,negative,worst flying experiences ever the past three days your airline needs to get it together lost a customer with me,111
3611,negative,yes i have,10
3612,negative,customerservice fail long time flyer switching airlines frustrated,66
3613,positive,okay thanks for your help jt i appreciate your time,51
3614,negative,screwed over my professor maybe we should tell everyone about aviation airport airline innovation startups tech,111
3615,negative,now do the right thing and reinstate the tickets you voided unitedfail,70
3616,negative,negative done wasting time with amateurs at customer service thanks for at least offering,89
